activity_year,lei,derived_msa_md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open_end_line_of_credit,business_or_commercial_purpose,loan_amount,combined_loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co_applicant_credit_score_type,applicant_ethnicity_1,applicant_ethnicity_2,applicant_ethnicity_3,applicant_ethnicity_4,applicant_ethnicity_5,co_applicant_ethnicity_1,co_applicant_ethnicity_2,co_applicant_ethnicity_3,co_applicant_ethnicity_4,co_applicant_ethnicity_5,applicant_ethnicity_observed,co_applicant_ethnicity_observed,applicant_race_1,applicant_race_2,applicant_race_3,applicant_race_4,applicant_race_5,co_applicant_race_1,co_applicant_race_2,co_applicant_race_3,co_applicant_race_4,co_applicant_race_5,applicant_race_observed,co_applicant_race_observed,applicant_sex,co_applicant_sex,applicant_sex_observed,co_applicant_sex_observed,applicant_age,co_applicant_age,applicant_age_above_62,co_applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus_1,aus_2,aus_3,aus_4,aus_5,denial_reason_1,denial_reason_2,denial_reason_3,denial_reason_4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,dti_bucket,decisioned,loan_purpose_label,action_taken_label,ltv,ltv_bucket
2024,549300SHE1JTCOWBP090,49180,NC,37067,37067004015,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,3,0,2,1,2,1,2,1,2,305000,61.35,,,3,,,,,,,,1.0,2,2,2,2,485000.0,1,1,3,5,1,,52.0,>60%,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,35-44,9999,No,,1,1,6,,,,,1,,,,4624,26.38,81900,162.0,1471,1615,21,>60%,True,Home Improvement,Application Denied,62.88659793814433,60%-80%
2024,549300SHE1JTCOWBP090,99999,NC,37045,37045950301,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,2,1,2,2,2,1,2,55000,,,,3,,,,,,,,2.0,2,2,2,2,,1,1,3,5,1,,190.0,,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,55-64,55-64,No,No,1,1,6,,,,,10,,,,4841,31.01,71500,89.0,1204,1988,35,Missing,False,Home Improvement,Application Withdrawn,,Missing
2024,549300SHE1JTCOWBP090,24660,NC,37081,37081015706,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,1,0,2,1,2,1,2,1,1,45000,22.005,7.25,,3,,,,,,,,3.0,2,2,2,2,205000.0,1,3,3,5,1,,54.0,42,3,10,2,,,,,5,,,,,2,4,27,,,,,8,,,,,2,4,2,5,2,4,35-44,9999,No,,1,1,6,,,,,10,,,,6193,40.88,80700,177.0,2295,2547,22,36%-49%,True,Home Improvement,Loan Originated,21.951219512195124,<=60%
2024,549300SHE1JTCOWBP090,20500,NC,37063,37063001806,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,5,0,2,1,2,1,2,1,2,125000,,,,3,,,,,,,,3.0,2,2,2,2,,1,1,3,5,1,,95.0,,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,6,5,2,4,45-54,9999,No,,1,1,6,,,,,10,,,,6760,66.94,106500,71.0,2311,2709,20,Missing,False,Home Improvement,File Closed for Incompleteness,,Missing
2024,549300SHE1JTCOWBP090,49180,NC,37057,37057060301,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,2,2,2,1,2,35000,79.983,7.25,-0.85,2,,,,,,,,3.0,2,2,2,2,385000.0,1,1,3,5,1,,96.0,40,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,,1,1,6,,,,,10,,,,5054,13.4,81900,154.0,1822,2138,25,36%-49%,True,Home Improvement,Loan Originated,9.090909090909092,<=60%
2024,549300SHE1JTCOWBP090,99999,NC,37031,37031970801,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,3,0,2,1,2,2,2,1,1,135000,61.834,,,3,,,,,,,,2.0,2,2,2,2,385000.0,1,3,3,5,1,,102.0,44,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,,1,1,6,,,,,1,6.0,,,3005,10.42,71500,115.0,837,1407,24,36%-49%,True,Home Improvement,Application Denied,35.064935064935064,<=60%
2024,549300SHE1JTCOWBP090,16740,NC,37071,37071032802,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,3,0,2,1,4,2,2,1,2,65000,89.362,,,3,,,,,,,,2.0,2,2,2,2,355000.0,1,1,3,5,1,,115.0,41,3,9,2,,,,,2,,,,,2,2,3,,,,,3,,,,,2,2,2,1,2,2,45-54,55-64,No,Yes,1,1,6,,,,,3,,,,3721,46.33,100300,67.0,889,1332,35,36%-49%,True,Other Purpose,Application Denied,18.30985915492958,<=60%
2024,549300SHE1JTCOWBP090,99999,NC,37031,37031971103,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,2,2,2,1,2,75000,72.729,7.5,-0.82,2,,,,,,,,1.0,2,2,2,2,405000.0,1,1,3,5,1,,184.0,30%-<36%,3,3,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,55-64,55-64,No,No,1,1,6,,,,,10,,,,1398,6.22,71500,144.0,697,3296,39,30%-<36%,True,Home Improvement,Loan Originated,18.51851851851852,<=60%
2024,549300SHE1JTCOWBP090,48900,NC,37141,37141920402,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,3,0,2,1,31,2,2,1,2,115000,78.305,,,3,,,,,,,,2.0,2,2,2,2,275000.0,1,1,3,5,1,,52.0,>60%,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,55-64,9999,No,,1,1,6,,,,,1,3.0,,,3041,40.97,96300,104.0,890,1368,29,>60%,True,Refinancing,Application Denied,41.81818181818181,<=60%
2024,549300SHE1JTCOWBP090,99999,VA,51077,51077060300,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Female,3,0,2,1,4,2,2,1,2,15000,43.333,,,3,,,,,,,,2.0,2,2,2,2,155000.0,2,1,1,1,1,,29.0,30%-<36%,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,55-64,9999,Yes,,1,1,6,,,,,4,,,,1796,3.9,73900,102.0,805,1546,51,30%-<36%,True,Other Purpose,Application Denied,9.67741935483871,<=60%
2024,549300SHE1JTCOWBP090,39580,NC,37101,37101041113,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,1,4,2,2,1,2,75000,35.333,,,3,,,,,,,,2.0,2,2,2,2,605000.0,1,1,3,5,1,,43.0,30%-<36%,3,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,45-54,9999,No,,1,1,6,,,,,3,,,,2149,24.48,122300,127.0,899,899,16,30%-<36%,True,Other Purpose,Application Denied,12.396694214876034,<=60%
