column,data_type,missing_count,missing_percentage,unique_values
total_points_and_fees,float64,10000,100.0,0
prepayment_penalty_term,float64,10000,100.0,0
multifamily_affordable_units,float64,10000,100.0,0
co_applicant_race_5,float64,10000,100.0,0
aus_4,float64,10000,100.0,0
aus_3,float64,10000,100.0,0
co_applicant_ethnicity_5,float64,10000,100.0,0
applicant_ethnicity_4,float64,10000,100.0,0
aus_2,float64,10000,100.0,0
aus_5,float64,10000,100.0,0
denial_reason_4,float64,10000,100.0,0
co_applicant_ethnicity_4,float64,10000,100.0,0
applicant_ethnicity_5,float64,10000,100.0,0
co_applicant_race_4,float64,9999,99.99,1
applicant_race_5,float64,9999,99.99,1
discount_points,float64,9999,99.99,1
co_applicant_ethnicity_3,float64,9997,99.97,1
applicant_ethnicity_3,float64,9996,99.96000000000001,3
co_applicant_race_3,float64,9995,99.95,4
applicant_race_4,float64,9993,99.92999999999999,4
applicant_race_3,float64,9977,99.77000000000001,7
denial_reason_3,float64,9953,99.53,5
lender_credits,float64,9945,99.45,26
co_applicant_race_2,float64,9943,99.42999999999999,10
co_applicant_ethnicity_2,float64,9922,99.22,5
applicant_race_2,float64,9825,98.25,13
applicant_ethnicity_2,float64,9818,98.18,5
denial_reason_2,float64,9219,92.19000000000001,7
origination_charges,float64,8509,85.09,332
total_loan_costs,float64,8509,85.09,1434
loan_term,float64,7935,79.35,5
co_applicant_age_above_62,str,5828,58.28,2
rate_spread,float64,4534,45.34,995
interest_rate,float64,4243,42.43,50
debt_to_income_ratio,str,1458,14.580000000000002,19
property_value,float64,1366,13.66,155
combined_loan_to_value_ratio,float64,1366,13.66,6626
intro_rate_period,float64,845,8.450000000000001,4
income,float64,34,0.33999999999999997,497
loan_amount,int64,0,0.0,92
derived_dwelling_category,str,0,0.0,2
derived_ethnicity,str,0,0.0,4
derived_race,str,0,0.0,8
negative_amortization,int64,0,0.0,1
business_or_commercial_purpose,int64,0,0.0,2
open_end_line_of_credit,int64,0,0.0,2
hoepa_status,int64,0,0.0,2
loan_type,int64,0,0.0,2
loan_purpose,int64,0,0.0,4
lien_status,int64,0,0.0,2
reverse_mortgage,int64,0,0.0,1
conforming_loan_limit,str,0,0.0,2
census_tract,int64,0,0.0,2509
county_code,int64,0,0.0,204
derived_loan_product_type,str,0,0.0,3
state_code,str,0,0.0,14
activity_year,int64,0,0.0,1
lei,str,0,0.0,2
derived_msa_md,int64,0,0.0,54
derived_sex,str,0,0.0,4
action_taken,int64,0,0.0,5
purchaser_type,int64,0,0.0,2
preapproval,int64,0,0.0,2
applicant_ethnicity_1,int64,0,0.0,7
co_applicant_credit_score_type,int64,0,0.0,5
applicant_credit_score_type,int64,0,0.0,4
total_units,int64,0,0.0,4
co_applicant_race_1,int64,0,0.0,12
applicant_ethnicity_observed,int64,0,0.0,2
co_applicant_ethnicity_observed,int64,0,0.0,3
applicant_race_1,int64,0,0.0,13
co_applicant_ethnicity_1,int64,0,0.0,7
interest_only_payment,int64,0,0.0,1
balloon_payment,int64,0,0.0,1
other_nonamortizing_features,int64,0,0.0,1
manufactured_home_land_property_interest,int64,0,0.0,2
manufactured_home_secured_property_type,int64,0,0.0,2
occupancy_type,int64,0,0.0,3
construction_method,int64,0,0.0,2
co_applicant_sex,int64,0,0.0,5
applicant_race_observed,int64,0,0.0,2
applicant_sex,int64,0,0.0,4
co_applicant_race_observed,int64,0,0.0,3
initially_payable_to_institution,int64,0,0.0,1
submission_of_application,int64,0,0.0,1
applicant_age_above_62,str,0,0.0,2
co_applicant_age,str,0,0.0,8
co_applicant_sex_observed,int64,0,0.0,3
applicant_age,str,0,0.0,7
applicant_sex_observed,int64,0,0.0,2
aus_1,int64,0,0.0,3
denial_reason_1,int64,0,0.0,7
tract_population,int64,0,0.0,2036
tract_minority_population_percent,float64,0,0.0,2135
ffiec_msa_md_median_family_income,int64,0,0.0,57
tract_to_msa_income_percentage,float64,0,0.0,206
tract_owner_occupied_units,int64,0,0.0,1368
tract_one_to_four_family_homes,int64,0,0.0,1516
tract_median_age_of_housing_units,int64,0,0.0,74
